model,R2,MAE_train,MAE_test
LinearRegression initial,0.8464200968709472,20289.33639741511,21324.92012401977
LinearRegression,0.8617682068708926,18510.17499446229,18230.967168584102
Lasso avec GridSearch,0.8629858344330833,18537.417210528663,18172.854822824185
